UNIX TIME;TIME;LAT;LONG;ALT;DIST;HR;CAD;TEMP;POWER
1178690400;2007-05-09T06:00:00Z;-36,838359;149,709672;368;0;0;0;No Data;No Data
1178690402;2007-05-09T06:00:02Z;-36,838291;149,709729;368;0.0090871;0;0;No Data;No Data
1178690403;2007-05-09T06:00:03Z;-36,838257;149,709758;368;0.0136376;0;0;No Data;No Data
1178690405;2007-05-09T06:00:05Z;-36,838211;149,709781;368;0.0190912;0;0;No Data;No Data
1178690406;2007-05-09T06:00:06Z;-36,838177;149,709810;368;0.0236298;0;0;No Data;No Data
1178690407;2007-05-09T06:00:07Z;-36,838140;149,709828;368;0.0279938;0;0;No Data;No Data
1178690408;2007-05-09T06:00:08Z;-36,838112;149,709841;368;0.0312547;0;0;No Data;No Data
1178690409;2007-05-09T06:00:09Z;-36,838060;149,709879;368;0.0379852;0;0;No Data;No Data
1178690410;2007-05-09T06:00:10Z;-36,838025;149,709908;368;0.0426242;0;0;No Data;No Data
1178690411;2007-05-09T06:00:11Z;-36,837988;149,709926;368;0.0470017;0;0;No Data;No Data
1178690413;2007-05-09T06:00:13Z;-36,837942;149,709949;368;0.0525171;0;0;No Data;No Data
1178690414;2007-05-09T06:00:14Z;-36,837907;149,709978;368;0.0571561;0;0;No Data;No Data
1178690415;2007-05-09T06:00:15Z;-36,837851;149,710006;359;0.0637838;0;0;No Data;No Data
1178690417;2007-05-09T06:00:17Z;-36,837798;149,710044;359;0.0705497;0;0;No Data;No Data
1178690418;2007-05-09T06:00:18Z;-36,837761;149,710063;359;0.0749927;0;0;No Data;No Data
1178690419;2007-05-09T06:00:19Z;-36,837726;149,710092;359;0.0796502;0;0;No Data;No Data
1178690421;2007-05-09T06:00:21Z;-36,837660;149,710125;359;0.0874951;0;0;No Data;No Data
1178690422;2007-05-09T06:00:22Z;-36,837623;149,710144;359;0.0919412;0;0;No Data;No Data
1178690423;2007-05-09T06:00:23Z;-36,837576;149,710168;359;0.0975853;0;0;No Data;No Data
1178690425;2007-05-09T06:00:25Z;-36,837528;149,710191;359;0.1032382;0;0;No Data;No Data
1178690427;2007-05-09T06:00:27Z;-36,837434;149,710201;359;0.1136825;0;0;No Data;No Data
1178690429;2007-05-09T06:00:29Z;-36,837371;149,710208;359;0.1206711;0;0;No Data;No Data
1178690430;2007-05-09T06:00:30Z;-36,837317;149,710210;359;0.1265971;0;0;No Data;No Data
1178690432;2007-05-09T06:00:32Z;-36,837241;149,710211;359;0.1349701;0;0;No Data;No Data
1178690434;2007-05-09T06:00:34Z;-36,837184;149,710202;359;0.1412807;0;0;No Data;No Data
1178690435;2007-05-09T06:00:35Z;-36,837133;149,710215;359;0.1470153;0;0;No Data;No Data
1178690436;2007-05-09T06:00:36Z;-36,837095;149,710234;359;0.1515737;0;0;No Data;No Data
1178690437;2007-05-09T06:00:37Z;-36,837056;149,710253;345;0.1561853;0;0;No Data;No Data
1178690439;2007-05-09T06:00:39Z;-36,837018;149,710272;345;0.1607536;0;0;No Data;No Data
1178690440;2007-05-09T06:00:40Z;-36,836973;149,710307;345;0.1666834;0;0;No Data;No Data
1178690441;2007-05-09T06:00:41Z;-36,836940;149,710348;345;0.1718529;0;0;No Data;No Data
1178690443;2007-05-09T06:00:43Z;-36,836901;149,710405;345;0.178503;0;0;No Data;No Data
1178690444;2007-05-09T06:00:44Z;-36,836866;149,710435;362;0.1832384;0;0;No Data;No Data
1178690445;2007-05-09T06:00:45Z;-36,836833;149,710476;362;0.1883974;0;0;No Data;No Data
1178690447;2007-05-09T06:00:47Z;-36,836778;149,710516;362;0.1954414;0;0;No Data;No Data
1178690448;2007-05-09T06:00:48Z;-36,836742;149,710546;362;0.2002091;0;0;No Data;No Data
1178690449;2007-05-09T06:00:49Z;-36,836707;149,710576;362;0.2049683;0;0;No Data;No Data
1178690450;2007-05-09T06:00:50Z;-36,836668;149,710596;362;0.2096586;0;0;No Data;No Data
1178690452;2007-05-09T06:00:52Z;-36,836622;149,710631;362;0.2156294;0;0;No Data;No Data
1178690453;2007-05-09T06:00:53Z;-36,836583;149,710651;362;0.2202791;0;0;No Data;No Data
1178690454;2007-05-09T06:00:54Z;-36,836544;149,710670;362;0.2249278;0;0;No Data;No Data
1178690455;2007-05-09T06:00:55Z;-36,836505;149,710690;362;0.2296171;0;0;No Data;No Data
1178690456;2007-05-09T06:00:56Z;-36,836462;149,710699;362;0.2344376;0;0;No Data;No Data
1178690457;2007-05-09T06:00:57Z;-36,836419;149,710709;362;0.2392637;0;0;No Data;No Data
1178690459;2007-05-09T06:00:59Z;-36,836376;149,710719;362;0.2440907;0;0;No Data;No Data
1178690461;2007-05-09T06:01:01Z;-36,836300;149,710734;362;0.2526209;0;0;No Data;No Data
1178690462;2007-05-09T06:01:02Z;-36,836257;149,710744;362;0.2574824;0;0;No Data;No Data
1178690463;2007-05-09T06:01:03Z;-36,836213;149,710754;362;0.2623809;0;0;No Data;No Data
1178690465;2007-05-09T06:01:05Z;-36,836142;149,710794;349;0.2709849;0;0;No Data;No Data
1178690467;2007-05-09T06:01:07Z;-36,836091;149,710822;349;0.2771316;0;0;No Data;No Data
1178690468;2007-05-09T06:01:08Z;-36,836040;149,710851;349;0.2833099;0;0;No Data;No Data
1178690469;2007-05-09T06:01:09Z;-36,835989;149,710880;349;0.2894977;0;0;No Data;No Data
1178690471;2007-05-09T06:01:11Z;-36,835927;149,710914;349;0.2969687;0;0;No Data;No Data
1178690473;2007-05-09T06:01:13Z;-36,835879;149,710956;349;0.303485;0;0;No Data;No Data
1178690475;2007-05-09T06:01:15Z;-36,835817;149,710990;349;0.3110407;0;0;No Data;No Data
1178690476;2007-05-09T06:01:16Z;-36,835765;149,711020;349;0.3174289;0;0;No Data;No Data
1178690478;2007-05-09T06:01:18Z;-36,835702;149,711057;349;0.3251951;0;0;No Data;No Data
1178690480;2007-05-09T06:01:20Z;-36,835641;149,711107;349;0.3332783;0;0;No Data;No Data
1178690482;2007-05-09T06:01:22Z;-36,835578;149,711144;349;0.3410451;0;0;No Data;No Data
1178690484;2007-05-09T06:01:24Z;-36,835514;149,711182;349;0.3489067;0;0;No Data;No Data
1178690485;2007-05-09T06:01:25Z;-36,835479;149,711188;349;0.3527933;0;0;No Data;No Data
1178690486;2007-05-09T06:01:26Z;-36,835425;149,711219;349;0.3593262;0;0;No Data;No Data
1178690487;2007-05-09T06:01:27Z;-36,835380;149,711231;349;0.3644413;0;0;No Data;No Data
1178690489;2007-05-09T06:01:29Z;-36,835326;149,711263;333;0.371058;0;0;No Data;No Data
1178690491;2007-05-09T06:01:31Z;-36,835258;149,711288;333;0.37887;0;0;No Data;No Data
1178690493;2007-05-09T06:01:33Z;-36,835193;149,711326;333;0.38679;0;0;No Data;No Data
1178690494;2007-05-09T06:01:34Z;-36,835136;149,711345;333;0.3933049;0;0;No Data;No Data
1178690496;2007-05-09T06:01:36Z;-36,835071;149,711381;318;0.4011579;0;0;No Data;No Data
1178690498;2007-05-09T06:01:38Z;-36,835015;149,711397;318;0.4075071;0;0;No Data;No Data
1178690499;2007-05-09T06:01:39Z;-36,834972;149,711421;318;0.4127219;0;0;No Data;No Data
1178690501;2007-05-09T06:01:41Z;-36,834894;149,711448;318;0.4217472;0;0;No Data;No Data
1178690502;2007-05-09T06:01:42Z;-36,834848;149,711458;318;0.4269394;0;0;No Data;No Data
1178690504;2007-05-09T06:01:44Z;-36,834804;149,711482;318;0.4322478;0;0;No Data;No Data
1178690505;2007-05-09T06:01:45Z;-36,834750;149,711512;318;0.4388461;0;0;No Data;No Data
1178690507;2007-05-09T06:01:47Z;-36,834706;149,711537;318;0.4441842;0;0;No Data;No Data
1178690508;2007-05-09T06:01:48Z;-36,834662;149,711561;318;0.4494712;0;0;No Data;No Data
1178690509;2007-05-09T06:01:49Z;-36,834618;149,711585;318;0.4547565;0;0;No Data;No Data
1178690511;2007-05-09T06:01:51Z;-36,834552;149,711621;318;0.4627345;0;0;No Data;No Data
1178690513;2007-05-09T06:01:53Z;-36,834497;149,711652;317;0.4694138;0;0;No Data;No Data
1178690514;2007-05-09T06:01:54Z;-36,834453;149,711676;317;0.4747628;0;0;No Data;No Data
1178690516;2007-05-09T06:01:56Z;-36,834378;149,711731;317;0.4844187;0;0;No Data;No Data
1178690518;2007-05-09T06:01:58Z;-36,834324;149,711759;317;0.4909142;0;0;No Data;No Data
1178690519;2007-05-09T06:01:59Z;-36,834280;149,711782;317;0.4961402;0;0;No Data;No Data
1178690521;2007-05-09T06:02:01Z;-36,834204;149,711821;317;0.5052472;0;0;No Data;No Data
1178690523;2007-05-09T06:02:03Z;-36,834160;149,711843;317;0.5104715;0;0;No Data;No Data
1178690524;2007-05-09T06:02:04Z;-36,834119;149,711880;317;0.5161108;0;0;No Data;No Data
1178690526;2007-05-09T06:02:06Z;-36,834066;149,711923;317;0.5230923;0;0;No Data;No Data
1178690527;2007-05-09T06:02:07Z;-36,834022;149,711945;317;0.5283226;0;0;No Data;No Data
1178690528;2007-05-09T06:02:08Z;-36,833969;149,711988;317;0.5353021;0;0;No Data;No Data
1178690530;2007-05-09T06:02:10Z;-36,833914;149,712016;317;0.541875;0;0;No Data;No Data
1178690531;2007-05-09T06:02:11Z;-36,833872;149,712054;317;0.547593;0;0;No Data;No Data
1178690533;2007-05-09T06:02:13Z;-36,833828;149,712077;317;0.5528698;0;0;No Data;No Data
1178690534;2007-05-09T06:02:14Z;-36,833774;149,712120;317;0.5599432;0;0;No Data;No Data
1178690536;2007-05-09T06:02:16Z;-36,833708;149,712154;310;0.5678467;0;0;No Data;No Data
1178690538;2007-05-09T06:02:18Z;-36,833665;149,712174;310;0.5729529;0;0;No Data;No Data
1178690539;2007-05-09T06:02:19Z;-36,833610;149,712200;304;0.5793974;0;0;No Data;No Data
1178690541;2007-05-09T06:02:21Z;-36,833556;149,712226;304;0.5858412;0;0;No Data;No Data
1178690541;2007-05-09T06:02:21Z;-36,833535;149,712193;310;0.5895482;0;0;No Data;No Data
1178690543;2007-05-09T06:02:23Z;-36,833531;149,712121;310;0.5958959;0;0;No Data;No Data
1178690545;2007-05-09T06:02:25Z;-36,833524;149,712036;310;0.603466;0;0;No Data;No Data
1178690546;2007-05-09T06:02:26Z;-36,833552;149,711991;310;0.6085846;0;0;No Data;No Data
1178690548;2007-05-09T06:02:28Z;-36,833592;149,711940;310;0.6149636;0;0;No Data;No Data
1178690549;2007-05-09T06:02:29Z;-36,833634;149,711903;310;0.6207539;0;0;No Data;No Data
1178690550;2007-05-09T06:02:30Z;-36,833677;149,711866;310;0.6265729;0;0;No Data;No Data
1178690552;2007-05-09T06:02:32Z;-36,833733;149,711836;317;0.6333681;0;0;No Data;No Data
1178690554;2007-05-09T06:02:34Z;-36,833800;149,711800;317;0.6415452;0;0;No Data;No Data
1178690555;2007-05-09T06:02:35Z;-36,833845;149,711777;317;0.6470326;0;0;No Data;No Data
1178690557;2007-05-09T06:02:37Z;-36,833910;149,711728;317;0.6554931;0;0;No Data;No Data
1178690559;2007-05-09T06:02:39Z;-36,833954;149,711704;317;0.6609076;0;0;No Data;No Data
1178690560;2007-05-09T06:02:40Z;-36,834010;149,711675;317;0.6677168;0;0;No Data;No Data
1178690562;2007-05-09T06:02:42Z;-36,834077;149,711639;317;0.6758412;0;0;No Data;No Data
1178690564;2007-05-09T06:02:44Z;-36,834143;149,711604;317;0.6838868;0;0;No Data;No Data
1178690566;2007-05-09T06:02:46Z;-36,834199;149,711575;317;0.6906333;0;0;No Data;No Data
1178690567;2007-05-09T06:02:47Z;-36,834243;149,711552;317;0.6959459;0;0;No Data;No Data
1178690568;2007-05-09T06:02:48Z;-36,834286;149,711530;317;0.7011711;0;0;No Data;No Data
1178690570;2007-05-09T06:02:50Z;-36,834340;149,711502;317;0.7077371;0;0;No Data;No Data
1178690572;2007-05-09T06:02:52Z;-36,834416;149,711464;317;0.7169137;0;0;No Data;No Data
1178690573;2007-05-09T06:02:53Z;-36,834463;149,711454;317;0.7222509;0;0;No Data;No Data
1178690575;2007-05-09T06:02:55Z;-36,834509;149,711444;317;0.7275379;0;0;No Data;No Data
1178690576;2007-05-09T06:02:56Z;-36,834564;149,711414;318;0.7343005;0;0;No Data;No Data
1178690578;2007-05-09T06:02:58Z;-36,834611;149,711404;318;0.7396267;0;0;No Data;No Data
