LAT;LONG;ALT
-36,838359;149,709672;368
-36,838291;149,709729;368
-36,838257;149,709758;368
-36,838211;149,709781;368
-36,838177;149,709810;368
-36,838140;149,709828;368
-36,838112;149,709841;368
-36,838060;149,709879;368
-36,838025;149,709908;368
-36,837988;149,709926;368
-36,837942;149,709949;368
-36,837907;149,709978;368
-36,837851;149,710006;359
-36,837798;149,710044;359
-36,837761;149,710063;359
-36,837726;149,710092;359
-36,837660;149,710125;359
-36,837623;149,710144;359
-36,837576;149,710168;359
-36,837528;149,710191;359
-36,837434;149,710201;359
-36,837371;149,710208;359
-36,837317;149,710210;359
-36,837241;149,710211;359
-36,837184;149,710202;359
-36,837133;149,710215;359
-36,837095;149,710234;359
-36,837056;149,710253;345
-36,837018;149,710272;345
-36,836973;149,710307;345
-36,836940;149,710348;345
-36,836901;149,710405;345
-36,836866;149,710435;362
-36,836833;149,710476;362
-36,836778;149,710516;362
-36,836742;149,710546;362
-36,836707;149,710576;362
-36,836668;149,710596;362
-36,836622;149,710631;362
-36,836583;149,710651;362
-36,836544;149,710670;362
-36,836505;149,710690;362
-36,836462;149,710699;362
-36,836419;149,710709;362
-36,836376;149,710719;362
-36,836300;149,710734;362
-36,836257;149,710744;362
-36,836213;149,710754;362
-36,836142;149,710794;349
-36,836091;149,710822;349
-36,836040;149,710851;349
-36,835989;149,710880;349
-36,835927;149,710914;349
-36,835879;149,710956;349
-36,835817;149,710990;349
-36,835765;149,711020;349
-36,835702;149,711057;349
-36,835641;149,711107;349
-36,835578;149,711144;349
-36,835514;149,711182;349
-36,835479;149,711188;349
-36,835425;149,711219;349
-36,835380;149,711231;349
-36,835326;149,711263;333
-36,835258;149,711288;333
-36,835193;149,711326;333
-36,835136;149,711345;333
-36,835071;149,711381;318
-36,835015;149,711397;318
-36,834972;149,711421;318
-36,834894;149,711448;318
-36,834848;149,711458;318
-36,834804;149,711482;318
-36,834750;149,711512;318
-36,834706;149,711537;318
-36,834662;149,711561;318
-36,834618;149,711585;318
-36,834552;149,711621;318
-36,834497;149,711652;317
-36,834453;149,711676;317
-36,834378;149,711731;317
-36,834324;149,711759;317
-36,834280;149,711782;317
-36,834204;149,711821;317
-36,834160;149,711843;317
-36,834119;149,711880;317
-36,834066;149,711923;317
-36,834022;149,711945;317
-36,833969;149,711988;317
-36,833914;149,712016;317
-36,833872;149,712054;317
-36,833828;149,712077;317
-36,833774;149,712120;317
-36,833708;149,712154;310
-36,833665;149,712174;310
-36,833610;149,712200;304
-36,833556;149,712226;304
-36,833535;149,712193;310
-36,833531;149,712121;310
-36,833524;149,712036;310
-36,833552;149,711991;310
-36,833592;149,711940;310
-36,833634;149,711903;310
-36,833677;149,711866;310
-36,833733;149,711836;317
-36,833800;149,711800;317
-36,833845;149,711777;317
-36,833910;149,711728;317
-36,833954;149,711704;317
-36,834010;149,711675;317
-36,834077;149,711639;317
-36,834143;149,711604;317
-36,834199;149,711575;317
-36,834243;149,711552;317
-36,834286;149,711530;317
-36,834340;149,711502;317
-36,834416;149,711464;317
-36,834463;149,711454;317
-36,834509;149,711444;317
-36,834564;149,711414;318
-36,834611;149,711404;318
-36,834676;149,711368;333
-36,834733;149,711353;333
-36,834776;149,711331;333
-36,834843;149,711310;333
-36,834889;149,711301;333
-36,834966;149,711274;333
-36,834998;149,711258;333
-36,835041;149,711235;333
-36,835118;149,711208;333
-36,835184;149,711170;333
-36,835259;149,711126;333
-36,835313;149,711095;333
-36,835367;149,711064;349
-36,835428;149,711014;349
-36,835489;149,710965;349
-36,835539;149,710921;349
-36,835603;149,710884;349
-36,835642;149,710847;349
-36,835681;149,710810;349
-36,835731;149,710767;349
-36,835794;149,710731;349
-36,835832;149,710696;349
-36,835873;149,710675;349
-36,835929;149,710635;349
-36,835946;149,710614;349
-36,835993;149,710578;349
-36,836030;149,710547;349
-36,836080;149,710523;345
-36,836136;149,710482;349
-36,836189;149,710431;362
-36,836249;149,710401;345
-36,836285;149,710371;345
-36,836391;149,710306;345
-36,836457;149,710261;345
-36,836496;149,710242;345
-36,836552;149,710202;345
-36,836591;149,710183;345
-36,836631;149,710163;345
-36,836680;149,710139;345
-36,836735;149,710100;345
-36,836784;149,710076;345
-36,836820;149,710046;345
-36,836849;149,710031;345
-36,836917;149,709998;345
-36,836985;149,709965;345
-36,837052;149,709933;345
-36,837110;149,709905;359
-36,837148;149,709886;359
-36,837216;149,709853;359
-36,837254;149,709834;359
-36,837302;149,709810;359
-36,837369;149,709777;359
-36,837398;149,709762;359
-36,837468;149,709740;359
-36,837534;149,709708;359
-36,837594;149,709691;359
-36,837651;149,709663;359
-36,837679;149,709649;359
-36,837717;149,709630;359
-36,837757;149,709623;359
-36,837804;149,709600;359
-36,837870;149,709568;340
-36,837926;149,709540;357
-36,837973;149,709517;357
-36,838007;149,709488;357
