LONG;LAT
149.690608881;-36.8280092779
149.6909916007;-36.8280006105
149.6913743203;-36.8279919419
149.6917570397;-36.8279832721
149.692139759;-36.827974601
149.6925224781;-36.8279659287
149.692905197;-36.8279572551
149.6932879158;-36.8279485803
149.6936706344;-36.8279399043
149.6940533528;-36.8279312271
149.6944360711;-36.8279225486
149.6948187892;-36.8279138689
149.6952015072;-36.827905188
149.695584225;-36.8278965059
149.6959669426;-36.8278878225
149.69634966;-36.8278791379
149.6967323773;-36.827870452
149.6971150945;-36.8278617649
149.6974978114;-36.8278530766
149.6978805282;-36.8278443871
149.6982632449;-36.8278356963
149.6986459613;-36.8278270043
149.6990286777;-36.8278183111
149.6994113938;-36.8278096166
149.6997941098;-36.827800921
149.7001768256;-36.827792224
149.7005595412;-36.8277835259
149.7009422567;-36.8277748265
149.7013249721;-36.8277661259
149.7017076872;-36.8277574241
149.7020904022;-36.827748721
149.702473117;-36.8277400167
149.7028558317;-36.8277313112
149.7032385462;-36.8277226044
149.7036212605;-36.8277138964
149.7040039747;-36.8277051872
149.7043866887;-36.8276964768
149.7047694026;-36.8276877651
149.7051521162;-36.8276790522
149.7055348298;-36.827670338
149.7059175431;-36.8276616227
149.7063002563;-36.8276529061
149.7066829693;-36.8276441882
149.7070656822;-36.8276354692
149.7074483949;-36.8276267489
149.7078311074;-36.8276180274
149.7082138198;-36.8276093046
149.7085965319;-36.8276005806
149.708979244;-36.8275918554
149.7093619559;-36.827583129
149.7097446676;-36.8275744013
149.7101273791;-36.8275656724
149.7105100905;-36.8275569423
149.7108928017;-36.8275482109
149.7112755127;-36.8275394783
149.7116582236;-36.8275307445
149.7120409343;-36.8275220095
149.7124236449;-36.8275132732
149.7128063552;-36.8275045357
149.7131890655;-36.8274957969
149.7135717755;-36.827487057
149.7139544854;-36.8274783158
149.7143371951;-36.8274695733
149.7147199047;-36.8274608297
149.7151026141;-36.8274520848
149.7154853233;-36.8274433387
149.7158680324;-36.8274345913
149.7162507413;-36.8274258427
149.71663345;-36.8274170929
149.7170161586;-36.8274083419
149.717398867;-36.8273995896
149.7177815752;-36.8273908361
149.7181642833;-36.8273820814
149.7185469912;-36.8273733254
149.6906196621;-36.8283169444
149.6910023833;-36.8283082769
149.6913851045;-36.8282996082
149.6917678254;-36.8282909382
149.6921505462;-36.828282267
149.6925332668;-36.8282735946
149.6929159873;-36.828264921
149.6932987076;-36.8282562461
149.6936814277;-36.82824757
149.6940641477;-36.8282388927
149.6944468675;-36.8282302141
149.6948295871;-36.8282215343
149.6952123066;-36.8282128533
149.6955950259;-36.8282041711
149.6959777451;-36.8281954876
149.6963604641;-36.8281868029
149.6967431829;-36.8281781169
149.6971259015;-36.8281694297
149.69750862;-36.8281607413
149.6978913384;-36.8281520517
149.6982740565;-36.8281433608
149.6986567745;-36.8281346687
149.6990394924;-36.8281259754
149.69942221;-36.8281172809
149.6998049275;-36.8281085851
149.7001876449;-36.8280998881
149.7005703621;-36.8280911898
149.7009530791;-36.8280824904
149.7013357959;-36.8280737896
149.7017185126;-36.8280650877
149.7021012291;-36.8280563845
149.7024839455;-36.8280476802
149.7028666617;-36.8280389745
149.7032493777;-36.8280302677
149.7036320936;-36.8280215596
