LAT;LONG;ALT
-36,828009;149,690608;234
-36,828000;149,690991;234
-36,827991;149,691374;234
-36,827983;149,691757;231
-36,827974;149,692139;231
-36,827965;149,692522;215
-36,827957;149,692905;215
-36,827948;149,693287;203
-36,827939;149,693670;203
-36,827931;149,694053;202
-36,827922;149,694436;202
-36,827913;149,694818;214
-36,827905;149,695201;214
-36,827896;149,695584;218
-36,827887;149,695966;211
-36,827879;149,696349;206
-36,827870;149,696732;206
-36,827861;149,697115;206
-36,827853;149,697497;218
-36,827844;149,697880;218
-36,827835;149,698263;231
-36,827827;149,698645;231
-36,827818;149,699028;248
-36,827809;149,699411;248
-36,827800;149,699794;260
-36,827792;149,700176;260
-36,827783;149,700559;265
-36,827774;149,700942;265
-36,827766;149,701324;265
-36,827757;149,701707;250
-36,827748;149,702090;250
-36,827740;149,702473;239
-36,827731;149,702855;239
-36,827722;149,703238;225
-36,827713;149,703621;225
-36,827705;149,704003;218
-36,827696;149,704386;218
-36,827687;149,704769;222
-36,827679;149,705152;222
-36,827670;149,705534;237
-36,827661;149,705917;237
-36,827652;149,706300;237
-36,827644;149,706682;245
-36,827635;149,707065;245
-36,827626;149,707448;240
-36,827618;149,707831;240
-36,827609;149,708213;232
-36,827600;149,708596;232
-36,827591;149,708979;224
-36,827583;149,709361;224
-36,827574;149,709744;231
-36,827565;149,710127;231
-36,827556;149,710510;243
-36,827548;149,710892;243
-36,827539;149,711275;243
-36,827530;149,711658;260
-36,827522;149,712040;260
-36,827513;149,712423;265
-36,827504;149,712806;265
-36,827495;149,713189;252
-36,827487;149,713571;252
-36,827478;149,713954;232
-36,827469;149,714337;232
-36,827460;149,714719;212
-36,827452;149,715102;212
-36,827443;149,715485;212
-36,827434;149,715868;204
-36,827425;149,716250;204
-36,827417;149,716633;196
-36,827408;149,717016;196
-36,827399;149,717398;199
-36,827390;149,717781;199
-36,827382;149,718164;211
-36,827373;149,718546;211
-36,828316;149,690619;234
-36,828308;149,691002;234
-36,828299;149,691385;231
-36,828290;149,691767;231
-36,828282;149,692150;231
-36,828273;149,692533;215
-36,828264;149,692915;215
-36,828256;149,693298;203
-36,828247;149,693681;203
-36,828238;149,694064;202
-36,828230;149,694446;202
-36,828221;149,694829;214
-36,828212;149,695212;214
-36,828204;149,695595;218
-36,828195;149,695977;218
-36,828186;149,696360;210
-36,828178;149,696743;210
-36,828169;149,697125;210
-36,828160;149,697508;215
-36,828152;149,697891;215
-36,828143;149,698274;223
-36,828134;149,698656;223
-36,828125;149,699039;240
-36,828117;149,699422;240
